,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
0,Maruti,Alto,9,120000.0,Individual,Petrol,Manual,19.7,796,46.3,5,1.2,4.112027027027027
1,Hyundai,Grand,5,20000.0,Individual,Petrol,Manual,18.9,1197,82.0,5,5.5,7.295
2,Hyundai,i20,11,60000.0,Individual,Petrol,Manual,17.0,1197,80.0,5,2.15,10.810042134831459
3,Maruti,Alto,9,37000.0,Individual,Petrol,Manual,20.92,998,67.1,5,2.26,4.112027027027027
4,Ford,Ecosport,6,30000.0,Dealer,Diesel,Manual,22.77,1498,98.59,5,5.7,11.965
5,Maruti,Wagon R,8,35000.0,Individual,Petrol,Manual,18.9,998,67.1,5,3.5,6.05
6,Hyundai,i10,8,40000.0,Dealer,Petrol,Manual,20.36,1197,78.9,5,3.15,6.585
7,Maruti,Wagon R,3,17512.0,Dealer,Petrol,Manual,20.51,998,67.04,5,4.1,6.135
8,Hyundai,Venue,2,20000.0,Individual,Petrol,Automatic,18.15,998,118.35,5,10.5,10.36
9,Maruti,Swift,4,28321.0,Dealer,Petrol,Manual,16.6,1197,85.0,5,5.11,7.81
10,Hyundai,Verna,8,65278.0,Dealer,Diesel,Manual,22.32,1582,126.32,5,4.25,15.69
11,Renault,Duster,5,50000.0,Individual,Diesel,Manual,19.64,1461,108.45,5,7.5,14.16888888888889
13,Maruti,Ciaz,5,76000.0,Dealer,Diesel,Manual,28.09,1248,88.5,5,6.5,11.595719424460432
14,Maruti,Swift,5,20000.0,Individual,Diesel,Manual,25.2,1248,74.0,5,6.27,7.746715686274511
16,Maruti,Swift,7,62200.0,Dealer,Diesel,Manual,28.4,1248,74.0,5,4.25,7.746715686274511
17,Toyota,Innova,8,110000.0,Individual,Diesel,Manual,12.99,2494,100.6,8,6.05,24.861428571428572
18,Maruti,Baleno,6,20000.0,Individual,Petrol,Manual,21.4,1197,83.1,5,6.0,8.675
